,airline,manufacturer,model
N391DA,DELTA AIR LINES INC,BOEING,737-832
N391SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N39297,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N392DA,DELTA AIR LINES INC,BOEING,737-832
N392SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N393DA,DELTA AIR LINES INC,BOEING,737-832
N39415,UNITED AIRLINES INC,BOEING,737-924ER
N39416,UNITED AIRLINES INC,BOEING,737-924ER
N39418,UNITED AIRLINES INC,BOEING,737-924ER
N39423,UNITED AIRLINES INC,BOEING,737-924ER
N39450,UNITED AIRLINES INC,BOEING,737-924ER
N39461,UNITED AIRLINES INC,BOEING,737-924ER
N39463,UNITED AIRLINES INC,BOEING,737-924ER
N39475,UNITED AIRLINES INC,BOEING,737-924ER
N394DA,DELTA AIR LINES INC,BOEING,737-832
N394SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N395DN,DELTA AIR LINES INC,BOEING,737-832
N395SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4
N396DA,DELTA AIR LINES INC,BOEING,737-832
N396SW,U S BANK NA TRUSTEE,BOEING,737-3H4
N39726,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N39728,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N397DA,DELTA AIR LINES INC,BOEING,737-832
N397SW,U S BANK NA TRUSTEE,BOEING,737-3H4
N398CA,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2C10
N398DA,DELTA AIR LINES INC,BOEING,737-832
N398SW,U S BANK NA TRUSTEE,BOEING,737-3H4
N399DA,DELTA AIR LINES INC,BOEING,737-832
N399WN,U S BANK NA TRUSTEE,BOEING,737-3H4
N400WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N401UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N401WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N402UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N402WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N403AA,ALLEN AIR LLC,CESSNA,501
N403UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N403WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N404UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N404WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N405UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N405WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N406UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N406WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N407UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N407WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N408UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N408WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N409UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N409WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N410UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N410WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N41104,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N411UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N411WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N412UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N412WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N413UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N413WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N414UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N414WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N415UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N415WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N416UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N416WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N417UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N417WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N418UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N418WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N419UA,US BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N419WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N420UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N420WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N421LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N421UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N422UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N422WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N423UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N423WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N424AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N424UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N424WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N425AA,DOYLE JAMES C,PIPER,PA-28-180
N425LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N425UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N426AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N426UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N426WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N427UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N427WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N428UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N428WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N429UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N429WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N430UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N430WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N431UA,U S BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N431WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N432UA,US BANK NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N432WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N433LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N433UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N434AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83)
N434UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N434WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N435UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N435WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N436AA,DELTA MATERIAL SERVICES LLC,MCDONNELL DOUGLAS,DC-9-83(MD-83)
N436UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N436WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N437AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83)
N437UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N437WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N438AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83)
N438UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N438WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N439AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83)
N439UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N439WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N440LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N440UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N441UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N441WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N442UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N442WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N443UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N443WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N444UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N444WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N445UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N445WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N446UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N446WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N447UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N447WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N448UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N448WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N449UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N449US,WILMINGTON TRUST CO TRUSTEE,BOEING,737-4B7
N449WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N450WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N451UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N451WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N452UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N452WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N453UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N453WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N45440,UNITED AIRLINES INC,BOEING,737-924ER
N454UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N454WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N455AA,DELTA MATERIAL SERVICES LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N455UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N455WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N456UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N456WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N457UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N457WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N458UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N458WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N459UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N459WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N460UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N460WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N461UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N461WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N462UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N462WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N463UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N463WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N464UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N464WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N465UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N465WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N466AA,DELTA MATERIAL SERVICES LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N466UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N466WN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-7H4
N467AA,DELTA MATERIAL SERVICES LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N467UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N467WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N468AA,DELTA MATERIAL SERVICES LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N468UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N468WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N469AA,DELTA MATERIAL SERVICES LLCDEPT 673,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N469UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N469WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N470AA,AEROTHRUST HOLDINGS LEASING LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N470UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N470WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N471AA,DELTA MATERIAL SERVICES LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N471UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N47214,GOSSMANN GEORGE W JR,NEAT,GREAT LAKES 2T1A
N472AA,DELTA MATERIAL SERVICES LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N472UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N472WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N473AA,DELTA MATERIAL SERVICES LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N473UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N473WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N47414,UNITED AIRLINES INC,BOEING,737-924ER
N474AA,ALL HOME CRAFTSMEN INC,CESSNA,172M
N474UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N474WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N475AA,DELTA MATERIAL SERVICES LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N475UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N475WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N476UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N476WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N477UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N477WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N478AA,AEROTHRUST HOLDINGS LEASING LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N478UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N478WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N479AA,DELTA MATERIAL SERVICES LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N479UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N479WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N480AA,DELTA MATERIAL SERVICES LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N480UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N480WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N481AA,AEROTHRUST HOLDINGS LEASING LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N481UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N481WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N482AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N482UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N482WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N483UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N483WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N484UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N484WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N485AA,AEROTHRUST HOLDINGS LEASING LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N485UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N485WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N486AA,DELTA MATERIAL SERVICES LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N486UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N486WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N487AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N487UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N487WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N488AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N488UA,UNITED AIRLINES INC,AIRBUS INDUSTRIE,A320-232
N488WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
