,airline,manufacturer,model
N11165,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11176,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11181,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11184,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11187,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11189,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11191,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11192,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11193,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11194,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11199,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N111AA,BLUE WATER AVIATION LLC,BEECH,F90
N111US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214
N11206,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N112AA,AMERICAN EAST AIRWAYS INC,AERO COMMANDER,500-B
N112US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N113SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N113UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214
N114AA,TOMECA INC,BEECH,A60
N114SY,SKYWEST AIRLINES INC,EMBRAER,ERJ 170-200 LR
N114UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214
N11535,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N11536,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N11539,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N11544,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N11547,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N11548,UNITED AIRLINES INC,EMBRAER,EMB-145LR
