,airline,manufacturer,model
N218WN,737-7H4,BOEING,737-7H4
N219FR,A320-214,AIRBUS,A320-214
N219WN,737-7H4,BOEING,737-7H4
N220FR,A320-214,AIRBUS,A320-214
N220WN,737-7H4,BOEING,737-7H4
N221FR,A320-214,AIRBUS,A320-214
N221WN,737-7H4,BOEING,737-7H4
N222WN,737-7H4,BOEING,737-7H4
N223FR,A320-214,AIRBUS,A320-214
N223WN,737-7H4,BOEING,737-7H4
N224WN,737-7H4,BOEING,737-7H4
N225WN,737-7H4,BOEING,737-7H4
N226WN,737-7H4,BOEING,737-7H4
N227FR,A320-214,AIRBUS,A320-214
N227WN,737-7H4,BOEING,737-7H4
N228FR,A320-214,AIRBUS,A320-214
N228JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N228PQ,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N228WN,737-7H4,BOEING,737-7H4
N22909,EMB-145LR,EMBRAER,EMB-145LR
N229FR,A320-214,AIRBUS,A320-214
N229JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N229WN,737-7H4,BOEING,737-7H4
N230FR,A320-214,AIRBUS,A320-214
N230WN,737-7H4,BOEING,737-7H4
N23139,EMB-145XR,EMBRAER,EMB-145XR
N231JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N231WN,737-7H4,BOEING,737-7H4
N232FR,A320-214,AIRBUS,A320-214
N232PQ,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N232WN,737-7H4,BOEING,737-7H4
N233FR,A320-214,AIRBUS,A320-214
N233LV,737-7H4,BOEING,737-7H4
N234WN,737-7H4,BOEING,737-7H4
N235FR,A320-214,AIRBUS,A320-214
N235WN,737-7H4,BOEING,737-7H4
N236FR,A320-214,AIRBUS,A320-214
N236JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N236WN,737-7H4,BOEING,737-7H4
N23707,737-724,BOEING,737-724
N23708,737-724,BOEING,737-724
N23721,737-724,BOEING,737-724
N237WN,737-7H4,BOEING,737-7H4
N238FR,A320-214,AIRBUS,A320-214
N238JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N238WN,737-7H4,BOEING,737-7H4
N239JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N239WN,737-7H4,BOEING,737-7H4
N240WN,737-7H4,BOEING,737-7H4
N24103,EMB-145XR,EMBRAER,EMB-145XR
N241WN,737-7H4,BOEING,737-7H4
N24202,737-824,BOEING,737-824
N24211,737-824,BOEING,737-824
N24212,737-824,BOEING,737-824
N24224,737-824,BOEING,737-824
N242WN,737-7H4,BOEING,737-7H4
N243WN,737-7H4,BOEING,737-7H4
N244WN,737-7H4,BOEING,737-7H4
N245WN,737-7H4,BOEING,737-7H4
N246LV,737-7H4,BOEING,737-7H4
N24702,737-724,BOEING,737-724
N24706,737-724,BOEING,737-724
N24715,737-724,BOEING,737-724
N24729,737-724,BOEING,737-724
N24736,737-724,BOEING,737-724
N247JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N247WN,737-7H4,BOEING,737-7H4
N248WN,737-7H4,BOEING,737-7H4
N249JB,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N249WN,737-7H4,BOEING,737-7H4
N250WN,737-7H4,BOEING,737-7H4
N25134,EMB-145XR,EMBRAER,EMB-145XR
N251WN,737-7H4,BOEING,737-7H4
N25201,737-824,BOEING,737-824
