num_pickups,num_passengers,yr,mnth,d,hr
571,938,2014,2,6,13
539,885,2014,2,6,14
482,769,2014,2,6,15
576,905,2014,2,6,16
604,976,2014,2,6,17
671,1099,2014,2,6,18
657,1044,2014,2,6,19
588,902,2014,2,6,20
808,1334,2014,2,6,21
691,1189,2014,2,6,22
508,873,2014,2,6,23
197,400,2014,2,7,0
25,47,2014,2,7,1
8,12,2014,2,7,2
2,2,2014,2,7,3
12,19,2014,2,7,4
22,49,2014,2,7,5
25,29,2014,2,7,6
155,244,2014,2,7,7
214,364,2014,2,7,8
318,533,2014,2,7,9
370,608,2014,2,7,10
382,632,2014,2,7,11
518,939,2014,2,7,12
390,671,2014,2,7,13
495,860,2014,2,7,14
447,721,2014,2,7,15
585,956,2014,2,7,16
623,1007,2014,2,7,17
600,1038,2014,2,7,18
578,961,2014,2,7,19
518,853,2014,2,7,20
566,966,2014,2,7,21
550,952,2014,2,7,22
420,682,2014,2,7,23
166,330,2014,2,8,0
13,24,2014,2,8,1
12,23,2014,2,8,2
9,14,2014,2,8,3
9,12,2014,2,8,4
12,22,2014,2,8,5
9,14,2014,2,8,6
32,36,2014,2,8,7
82,131,2014,2,8,8
108,165,2014,2,8,9
270,433,2014,2,8,10
214,357,2014,2,8,11
237,409,2014,2,8,12
269,450,2014,2,8,13
299,471,2014,2,8,14
239,392,2014,2,8,15
204,322,2014,2,8,16
282,459,2014,2,8,17
231,338,2014,2,8,18
149,230,2014,2,8,19
178,292,2014,2,8,20
293,503,2014,2,8,21
139,260,2014,2,8,22
267,482,2014,2,8,23
104,185,2014,2,9,0
14,18,2014,2,9,1
9,9,2014,2,9,2
10,15,2014,2,9,3
8,9,2014,2,9,4
10,10,2014,2,9,5
11,17,2014,2,9,6
23,37,2014,2,9,7
78,123,2014,2,9,8
118,206,2014,2,9,9
211,354,2014,2,9,10
196,314,2014,2,9,11
311,486,2014,2,9,12
366,597,2014,2,9,13
461,718,2014,2,9,14
567,932,2014,2,9,15
696,1236,2014,2,9,16
686,1209,2014,2,9,17
632,978,2014,2,9,18
524,947,2014,2,9,19
377,630,2014,2,9,20
510,856,2014,2,9,21
699,1138,2014,2,9,22
785,1276,2014,2,9,23
782,1342,2014,2,10,0
210,340,2014,2,10,1
83,129,2014,2,10,2
16,30,2014,2,10,3
21,28,2014,2,10,4
59,109,2014,2,10,5
102,184,2014,2,10,6
263,436,2014,2,10,7
588,923,2014,2,10,8
749,1226,2014,2,10,9
745,1290,2014,2,10,10
584,1023,2014,2,10,11
514,823,2014,2,10,12
430,747,2014,2,10,13
529,883,2014,2,10,14
463,750,2014,2,10,15
551,898,2014,2,10,16
552,933,2014,2,10,17
