,tail_number,airline,manufacturer,model,manufacturer_short,model_short,manufacturer_model,seats
2383,N856DN,DELTA AIR LINES INC,BOEING,737-932ER,BOEING,737,BOEING 737,150.0
2384,N857AA,JV SERVICE II LLC,CESSNA,550,CESSNA,550,CESSNA 550,
2385,N857AS,U S BANK NA TRUSTEE,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2386,N857DZ,DELTA AIR LINES INC,BOEING,737-932ER,BOEING,737,BOEING 737,150.0
2387,N858AS,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2388,N858DZ,DELTA AIR LINES INC,BOEING,737-932ER,BOEING,737,BOEING 737,150.0
2389,N859AS,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2390,N859DN,DELTA AIR LINES INC,BOEING,737-932ER,BOEING,737,BOEING 737,150.0
2391,N8600F,BANK OF UTAHTRUSTEE,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2392,N8601C,WILMINGTON TRUST CO TRUSTEE,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2393,N8602F,WILMINGTON TRUST CO TRUSTEE,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2394,N8603F,WILMINGTON TRUST CO TRUSTEE,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2395,N8604K,BANK OF UTAH TRUSTEE,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2396,N8605E,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2397,N8606C,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2398,N8607M,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2399,N8608N,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2400,N8609A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2401,N860AA,BANK OF UTAH TRUSTEE,GULFSTREAM AEROSPACE,GV-SP (G550),GULFSTREAM,GV,GULFSTREAM GV,
2402,N860AS,US BANK NA TRUSTEE,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2403,N860DN,DELTA AIR LINES INC,BOEING,737-932ER,BOEING,737,BOEING 737,150.0
2404,N8610A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2405,N8611F,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2406,N8612K,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2407,N8613K,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2408,N8614M,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2409,N8615E,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2410,N8616C,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2411,N8617E,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2412,N8618N,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2413,N8619F,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2414,N861AS,U S BANK NA TRUSTEE,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2415,N861DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-932ER,BOEING,737,BOEING 737,150.0
2416,N8620H,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2417,N8621A,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2418,N8622A,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2419,N8623F,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2420,N8624J,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2421,N8625A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2422,N8626B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2423,N8627B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2424,N8628A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2425,N862DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-932ER,BOEING,737,BOEING 737,150.0
2426,N8630B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2427,N8631A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2428,N8632A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2429,N8633A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2430,N8634A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2431,N8635F,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2432,N8637A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2433,N8638A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2434,N8639B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2435,N863DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-932ER,BOEING,737,BOEING 737,150.0
2436,N8640D,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2437,N8641B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2438,N8642E,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2439,N8643A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2440,N8644C,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2441,N8645A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2442,N8646B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2443,N8647A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2444,N8648A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2445,N8649A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2446,N864DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-932ER,BOEING,737,BOEING 737,150.0
2447,N8650F,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2448,N8651A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2449,N8652B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2450,N86534,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
2451,N8653A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2452,N8654B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2453,N8655D,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2454,N8656B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2455,N8658A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2456,N8659D,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2457,N865AA,SKY OPT LLC,GULFSTREAM AEROSPACE,G1159B,GULFSTREAM,G1159B,GULFSTREAM G1159B,
2458,N865DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-932ER,BOEING,737,BOEING 737,150.0
2459,N8660A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2460,N8661A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2461,N8662F,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2462,N8663A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2463,N8664J,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2464,N8665D,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2465,N8667D,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2466,N8668A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2467,N8669B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2468,N866AA,KALITTA CHARTERS II LLC,BOEING,727-223,BOEING,727,BOEING 727,
2469,N866DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2470,N8670A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2471,N8671D,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2472,N8672F,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2473,N8673F,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2474,N8674B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2475,N8675A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2476,N8676A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2477,N8677A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2478,N8678E,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2479,N8679A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2480,N867AS,U S BANK N A TRUSTEE,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2481,N867DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2482,N8680C,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2483,N8681M,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2484,N8682B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2485,N8683D,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2486,N8684F,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2487,N8685B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2488,N8686A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2489,N8687A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2490,N8688J,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2491,N868AS,SKYWEST AIRLINES INC,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2492,N868DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2493,N8690A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2494,N8691A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2495,N8692F,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2496,N8693A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2497,N8694E,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2498,N8695D,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2499,N8696E,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2500,N8697C,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2501,N8698B,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2502,N8699A,SOUTHWEST AIRLINES CO,BOEING,737-8H4,BOEING,737,BOEING 737,150.0
2503,N869DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2504,N870AS,U S BANK NA TRUSTEE,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2505,N870DN,DELTA AIR LINES INC,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2506,N871AS,U S BANK NA TRUSTEE,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2507,N871DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2508,N872DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2509,N873AS,SKYWEST AIRLINES INC,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2510,N873DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2511,N874AA,SAVE A CONNIE INC,BOEING,727-223,BOEING,727,BOEING 727,
2512,N874DN,DELTA AIR LINES INC,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2513,N87507,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
2514,N87512,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
2515,N87513,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
2516,N87527,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
2517,N87531,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
2518,N875DN,DELTA AIR LINES INC,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2519,N876DN,DELTA AIR LINES INC,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2520,N877DN,DELTA AIR LINES INC,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2521,N878AS,SKYWEST AIRLINES INC,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2522,N879DN,DELTA AIR LINES INC,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2523,N880AA,ARCH AERIAL LLC,DJI,PHANTOM 3 PROFESSION,DJI,PHANTOM 3 PROFESSION,DJI PHANTOM 3 PROFESSION,
2524,N880DN,DELTA AIR LINES INC,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2525,N881AA,FLIGHT INTERNATIONAL CORP TRUSTEE,RAYTHEON AIRCRAFT COMPANY,390,RAYTHEON,390,RAYTHEON 390,
2526,N881AS,SKYWEST AIRLINES INC,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2527,N881DN,DELTA AIR LINES INC,BOEING,737-900ER,BOEING,737,BOEING 737,150.0
2528,N882AA,FLIGHT INTERNATIONAL CORP TRUSTEE,RAYTHEON AIRCRAFT COMPANY,390,RAYTHEON,390,RAYTHEON 390,
2529,N882AS,SKYWEST AIRLINES INC,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2530,N883AS,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2531,N884AS,SKYWEST AIRLINES INC,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2532,N885AA,MOR AVIATION LLC,EXTRA FLUGZEUGBAU GMBH,EA-400,EXTRA,EA,EXTRA EA,
2533,N888AA,ABBETT AIR LLC,PILATUS AIRCRAFT LTD,PC-12/47E,PILATUS,PC,PILATUS PC,
2534,N889UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A319-132,AIRBUS,A319,AIRBUS A319,130.0
2535,N890UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A319-132,AIRBUS,A319,AIRBUS A319,130.0
2536,N891AA,AUGUSTA AVIATION INC,BEECH,C90A,BEECH,C90A,BEECH C90A,
2537,N891AT,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,717-200,BOEING,717,BOEING 717,116.0
2538,N891UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A319-132,AIRBUS,A319,AIRBUS A319,130.0
2539,N892AT,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,717-200,BOEING,717,BOEING 717,116.0
2540,N892UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A319-132,AIRBUS,A319,AIRBUS A319,130.0
2541,N893AT,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,717-200,BOEING,717,BOEING 717,116.0
2542,N893UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A319-132,AIRBUS,A319,AIRBUS A319,130.0
2543,N894AT,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,717-200,BOEING,717,BOEING 717,116.0
2544,N894UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A319-132,AIRBUS,A319,AIRBUS A319,130.0
2545,N895AT,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,717-200,BOEING,717,BOEING 717,116.0
2546,N895UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A319-132,AIRBUS,A319,AIRBUS A319,130.0
2547,N896AT,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,717-200,BOEING,717,BOEING 717,116.0
2548,N899AT,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,717-200,BOEING,717,BOEING 717,116.0
2549,N900DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS CORPORATION,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2550,N900EV,SKYWEST AIRLINES INC,BOMBARDIER INC,CL-600-2B19,BOMBARDIER,CL,BOMBARDIER CL,65.0
2551,N900WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
2552,N901AA,AMERICAN AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
2553,N901DA,DELTA AIR LINES INC,MCDONNELL DOUGLAS,MD-90-30,MCDONNELL,MD,MCDONNELL MD,149.0
2554,N901DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS CORPORATION,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2555,N901NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A320-271N,AIRBUS,A320,AIRBUS A320,156.0
2556,N901WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
2557,N902AA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
2558,N902DA,DELTA AIR LINES INC,MCDONNELL DOUGLAS,MD-90-30,MCDONNELL,MD,MCDONNELL MD,149.0
2559,N902DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS CORPORATION,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2560,N902FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
2561,N902NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A320-271N,AIRBUS,A320,AIRBUS A320,156.0
2562,N902WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
2563,N903AA,AMERICAN AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
2564,N903DA,DELTA AIR LINES INC,MCDONNELL DOUGLAS,MD-90-30,MCDONNELL,MD,MCDONNELL MD,149.0
2565,N903DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS CORPORATION,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2566,N903NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A320-271N,AIRBUS,A320,AIRBUS A320,156.0
2567,N903WN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
2568,N904AA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
2569,N904DA,DELTA AIR LINES INC,MCDONNELL DOUGLAS,MD-90-30,MCDONNELL,MD,MCDONNELL MD,149.0
2570,N904DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS CORPORATION,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2571,N904DL,DELTA AIR LINES INC,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2572,N904NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A320-271N,AIRBUS,A320,AIRBUS A320,156.0
2573,N904WN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
2574,N905AA,BAHIN FRANK L JR,BEECH,58TC,BEECH,58TC,BEECH 58TC,
2575,N905DA,DELTA AIR LINES INC,MCDONNELL DOUGLAS,MD-90-30,MCDONNELL,MD,MCDONNELL MD,149.0
2576,N905DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS CORPORATION,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2577,N905DL,WILMINGTON TRUST COMPANY TRUSTEE,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2578,N905NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A320-271N,AIRBUS,A320,AIRBUS A320,156.0
2579,N905WN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
2580,N906AA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
2581,N906AT,BCC EQUIPMENT LEASING CORP,BOEING,717-200,BOEING,717,BOEING 717,116.0
2582,N906DA,DELTA AIR LINES INC,MCDONNELL DOUGLAS,MD-90-30,MCDONNELL,MD,MCDONNELL MD,149.0
2583,N906DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS CORPORATION,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2584,N906DL,WILMINGTON TRUST COMPANY TRUSTEE,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2585,N906WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
2586,N907AA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
2587,N907DA,DELTA AIR LINES INC,MCDONNELL DOUGLAS,MD-90-30,MCDONNELL,MD,MCDONNELL MD,149.0
2588,N907DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS CORPORATION,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2589,N907DL,WILMINGTON TRUST COMPANY TRUSTEE,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2590,N907WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
2591,N908AA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
2592,N908DA,DELTA AIR LINES INC,MCDONNELL DOUGLAS,MD-90-30,MCDONNELL,MD,MCDONNELL MD,149.0
2593,N908DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS CORPORATION,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2594,N908DL,WILMINGTON TRUST COMPANY TRUSTEE,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2595,N908WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
2596,N909DA,DELTA AIR LINES INC,MCDONNELL DOUGLAS,MD-90-30,MCDONNELL,MD,MCDONNELL MD,149.0
2597,N909DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS CORPORATION,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2598,N909WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
2599,N910AT,BCC EQUIPMENT LEASING CORP,BOEING,717-200,BOEING,717,BOEING 717,116.0
2600,N910DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS CORPORATION,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2601,N910DL,WILMINGTON TRUST COMPANY TRUSTEE,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2602,N910DN,DELTA AIR LINES INC,MCDONNELL DOUGLAS,MD-90-30,MCDONNELL,MD,MCDONNELL MD,149.0
2603,N910FR,FRONTIER AIRLINES INC,AIRBUS,A319-112,AIRBUS,A319,AIRBUS A319,130.0
2604,N910WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
2605,N911DA,DELTA AIR LINES INC,MCDONNELL DOUGLAS,MD-90-30,MCDONNELL,MD,MCDONNELL MD,149.0
2606,N911DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2607,N911DL,DELTA AIR LINES INC,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2608,N912DE,DELTA AIR LINES INC,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2609,N912DL,WILMINGTON TRUST COMPANY TRUSTEE,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,MCDONNELL,MD,MCDONNELL MD,149.0
2610,N912DN,DELTA AIR LINES INC,MCDONNELL DOUGLAS,MD-90-30,MCDONNELL,MD,MCDONNELL MD,149.0
2611,N912UY,AMERICAN AIRLINES INC,AIRBUS,A321-231,AIRBUS,A321,AIRBUS A321,182.0
2612,N912WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
