,tail_number,airline,manufacturer,model,manufacturer_short,model_short,manufacturer_model,seats
1824,N741UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1825,N742PS,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1826,N742SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1827,N743SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1828,N744EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1829,N744P,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1830,N744SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1831,N745AA,BEEBE JAMES M,PIPER,PA-32-300,PIPER,PA,PIPER PA,
1832,N745SK,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1833,N745SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1834,N745VJ,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1835,N746JB,JETBLUE AIRWAYS CORP,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1836,N746SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1837,N746UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1838,N747SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1839,N747UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1840,N74856,UNITED AIRLINES INC,BOEING,757-324,BOEING,757,BOEING 757,184.0
1841,N748EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
